Issue Date;Title;Author(s)
2021-12;Pengaruh Volume dan Waktu Perendaman Asam Sitrat pada Kulit Ikan Patin untuk Optimasi Ekstraksi Gelatin;"Nurilmala, Mala; Jacoeb, Agoes Mardiono; Agitya, Aldilla Shandy"
2021-12;Pengaruh Metode Ekstraksi Terhadap Rendemen dan Aktivitas Antitirosinase Ekstrak Kayu Merbau (Intsia bijuga (Colebr.) Kuntze;"Sari, Rita Kartika; Syafitri, Utami Dyah; Sari, Ratih Afrida Lismana"
2021-12;Kajian Karakter Pascapanen Pisang Tanduk (Musa paradisiaca, Group AAB) untuk Optimasi Satuan Panas sebagai Kriteria Panen Terukur;"Widodo, Winarso Drajad; Suketi, Ketty; Wijaya, Kevin"
2021-12;Rancang Bangun Sistem Ketertelusuran Rantai Pasok Ayam Pedaging Melalui Aplikasi Android Berbasis Blockchain;"Hermadi, Irman; Arkeman, Yandra; Usman, Meidhianto"
2021-12;Frekuensi Pemupukan dengan Pupuk Kandang Kambing untuk Produksi Buah Okra Merah (Abelmoschus esculentus L. Moench);"Melati, Maya; Susanto, Slamet; Panjaitan, Silvia"
2021-12;Analisis Perbandingan Teknik Purifikasi dan Karakterisasi Imunoglobulin Y (IgY) Spesifik Virus Influenza;"Soejoedono, Retno D; Poetri, Okti Nadia; Rachmawan, Widya Putra"
2021-12;Komposisi dan Distribusi Spesies Invasif Berdasarkan Deteksi eDNA dari Filum Porifera dan Cnidaria di sepanjang Gradien Lingkungan Perairan Teluk Jakarta;"Madduppa, Hawis H; Zamani, Neviaty Putri; Maqbul, Ismail"
2021-12;Penentuan Biomarker Formaldehida Endogenous dan Artifisial Pada Ikan Nomei (Harpodon nehereus) Selama Fase Kemunduran Mutu;"Nurhayati, Tati; Januar, Hedi Indra; Jacoeb, Agoes Mardiono; Barokah, Giri Rohmad"
2021-12;Multiplikasi Tunas dan Pembentukan Umbi Mikro Pada Bawang Merah Varietas Bima Brebes;"Purwito, Agus; Kosmiatin, Mia; Bahi, Anora Tri"
2021-12;Uji Keragaman Genetik Mutan Generasi Kedua Marigold (Tagetes patula L.) Genotipe MG21 Perlakuan Induksi Mutasi dengan Sinar Gamma;"Aisyah, Syarifah Iis; Simarmata, Erich Roganda"
2021-12;Pengembangan Oxygen scavenger dari Bubuk Besi dengan Penambahan Asam Askorbat: Pengaruhnya terhadap Laju dan Kapasitas Penghilangan Gas Oksigen;"Suyatma, Nugraha Edhi; Wulandari, Nur; Safarni, Rizka Aulia"
2021-12;Analisis Hubungan Indeks Harga Saham Gabungan dengan Faktor Makroekonomi Menggunakan Vector Error Correction Model;"Lesmana, Donny Citra; Budiarti, Retno; Clorenza, Anastasia"
2021-12;Pengaruh Populasi dan Pemupukan P pada Kedelai Edamame dengan Budidaya Jenuh Air di Lahan Pasang Surut;"Ghulamahdi, Munif; Lubis, Iskandar; Dwiyanti, Ikhwana"
2021-12;Implementasi Sistem Enterprise Resource Planning (ERP) Menggunakan Odoo Modul Sales Pada UMKM (Studi Kasus Di Kopi BangBen);"Darmawan, Muhammad Arif; Setiawan, Bayu"
2021-12;Perubahan Sifat Fisis dan Organoleptik Jamu Beras Kencur Selama Penyimpanan pada Tiga Kondisi Suhu Berbeda;"Batubara, Irmanida; Syafitri, Utami Dyah; Mubarok, Amril"
2021-12;Isolasi Fragmen Gen Penyandi Invertase Beberapa Varietas Tebu (Saccharum officinarum L.);"Santosa, Dwi Andreas; Widodo, Winarso Drajad; Utami, Tri"
2021-12;Pemanfaatan Zeolit Terimpregnasi Logam Sebagai Katalis Konversi Glukosa Menjadi 5-Hidroksimetilfurfural (HMF);"Sugiarti, Sri; Ferdiansah, Ivan A"
2021-12;Model Pengembangan Kawasan Ekonomi Khusus (KEK) Mandalika, Lombok: Analisis Sistem Sosial Ekologi;"Fauzi, Akhmad; Achsani, Noer; Anggraini, Eva; Suryade, Lalu"
2021-12;Dampak Kebakaran Hutan dan Lahan Gambut terhadap Manusia dan Lingkungan Hidup (Studi Kasus: Desa Bunsur, Kecamatan Sungai Apit, Kabupaten Siak, Provinsi Riau);"Mardiana, Rina; Sita, Rai; Anhar, Indah Pratiwi"
2021-12;Jenis, Persebaran dan Tanaman Inang Lalat Buah (Diptera: Tephritidae) di Indonesia;"Hidayat, Purnama; Maryana, Nina; Adilah, Nadiyah Bilqis"
2021-12;Studi Pustaka Penggunaan Tradisional, Aktivitas Biologis, dan Profil Fitokimia Ekstrak Daun Keji Beling (Strobilanthes crispus);"Rafi, Mohamad; Wahyuni, Wulan Tri; Sukendi, Yeli"
30/11/21;Seleksi In vitro Mutan Alfalfa (Medicago sativa L) Hasil Iradiasi Sinar Gamma Dalam Perakitan Tanaman Teradaptasi Cekaman Asam dan Kering;"Karti, Panca Dewi Manu Hara; Prihantoro, Iwan; Harianja, Desima Natalia"
30/11/21;Analisis Kapasitas Infiltrasi Tanah pada Berbagai Penggunaan Lahan;"Baskoro, Dwi Putro Tejo; Purwakusuma, Wahyu; Istiqomah, Dwi"
30/11/21;Seleksi In vitro Mutan Alfalfa (Medicago sativa L) Hasil Iradiasi Sinar Gamma Dalam Perakitan Tanaman Teradaptasi Cekaman Asam dan Kering;"Karti, Panca Dewi Manu Hara; Prihantoro, Iwan; Harianja, Desima Natalia"
30/11/21;Analisis Kapasitas Infiltrasi Tanah pada Berbagai Penggunaan Lahan;"Baskoro, Dwi Putro Tejo; Purwakusuma, Wahyu; Istiqomah, Dwi"
29/11/21;Evaluasi Status Hara N, P dan K Tanah pada Kebun Jeruk Pamelo (Citrus maxima (Burm.) Merr.) di Kabupaten Pangkep dengan Metode Gejala Defisiensi Hara, Analisis Tanaman dan Uji Tanah;"Suwarno, Suwarno; Anwar, Syaiful; Zainal, Nur Fa'izah"
29/11/21;Sifat Mikrobiologi Daging Ayam Olahan Sambal Taichan dengan Menggunakan Pengemas Retort Pouch.;"Wulandari, Zakiah; Ulupi, Niken; Chrisdianto, Denny Dwi"
28/11/21;Pengaruh Kebijakan Pengurangan Penggunaan Kantong Plastik Terhadap Green Behavior Masyarakat;"Mulatsih, Sri; Sumardjo; Tafsia, Carolin Lulik"
26/11/21;Determinan Perilaku Kaum Milenial dalam Berinvestasi Peer to Peer Lending;"Purwanto, Budi; Juwita, Wita; Sitorus, Imelda"
26/11/21;Struktur Komunitas Ikan Terumbu dan Asosiasinya dengan Bentuk Pertumbuhan Karang di Zona Inti Taman Wisata Perairan (TWP) Kepulauan Anambas;"Zamani, Neviaty Putri; Bengen, Dietriech Geoffrey; Setiawan, Mohd. Adip"
25/11/21;Studi Beban Kerja Ergonomika pada Budidaya Padi di Lahan Terasering (Studi Kasus di Desa Seda, Kabupaten Kuningan, Jawa Barat);"Syuaib, Muhammad Faiz; Fadillah, Muhammad Afif"
25/11/21;Pemetaan dan Prediksi Tren Riset pada Publikasi Jurnal Internasional Menggunakan Graf dan Topic Modeling;"Djatna, Taufik; Wijaya, Sony Hartono; Suyanto, Asep Herman"
23/11/21;Analisis Penerapan Manajemen Agile Pada PT Telekomunikasi Indonesia Divisi Digital Service;"Muljono, Pudji; Purwono, Joko; Agdaviswan, Azkaa"
22/11/21;Optimasi Pelarut Ekstraksi Terhadap Metabolit Sekunder dan Antioksidan dari Rimpang Temulawak (C xanthorizza Roxb.) dan Buah Kapulaga (Amomum compactum);"Nurcholis, Waras; Artika, I Made; Ma'rifah, Khusnul"
21/11/21;Pengaruh Ekuitas Merek dan Electronic Word Of Mouth (E-wom) terhadap Kepuasan dan Loyalitas Konsumen pada E-commerce Marketplace;"Tinaprilla, Netti; Safari, Arief; Hendrata, Adhy Arya"
20/11/21;Rencana Pengelolaan Ekosistem Mangrove yang Terdampak Masukan Sampah Plastik di Kecamatan Muaragembong, Jawa Barat;"Kurnia, Rahmat; Riani, Etty; Taryono; Pamungkas, Bayu"
19/11/21;Analisis Strategi Komunikasi dalam Pemasaran Wisata Kampung Budaya Sindangbarang;"Sumardjo, Sumardjo; Maghfirah, Shofa"
18/11/21;Manajemen Pemanenan Kelapa Sawit (Elaeis guineensis Jacq.) di Kebun Utara Petapahan, PT Peputra Masterindo, Kabupaten Kampar, Riau;"Lontoh, Adolf; Guntoro, Dwi; Mahadika, Fuad"
17/11/21;Evaluasi Kualitas Semen Sapi Madura, Peranakan Ongole dan Limousin di Balai Inseminasi Buatan (BIB) Lembang, Bandung;"Jakaria; Ulum, Mokhamad Fakhrul; Jannah, Zahratul"
15/11/21;Hubungan Teknik Budi Daya dengan PenyakitPenyakit Penting pada Padi Sawah di Kecamatan Gandrungmangu Kabupaten Cilacap, Jawa Tengah;"Wiyono, Suryo; Damayanti, Tri Asmira; Sahilah, Milatul Umi"
15/11/21;Hubungan Status Gizi, Status Anemia, dan Aktivitas Fisik dengan Tingkat Kelelahan dan Kebugaran Santriwati Pondok Pesantren Al Falak Bogor;"Marliyati, Sri Anna; Dewi, Mira; Pratiwi, Dwi Yanti Winda"
15/11/21;Pengaruh Persepsi dan Gaya Hidup Mahasiswa terhadap Minat Investasi Reksa Dana Syariah pada Masa Pandemi Covid-19;"Djamaludin, Moh. Djemdjem; Megawati, Annisa Sriayuning"
11/11/21;Profil Metabolit Tiga Varietas Temulawak (Curcuma zanthorrhiza) dari Lokasi Tanam Berbeda Menggunakan UHPLC-Q-ORBITRAP- MS/MS.;"Rohaeti, Eti; Rafi, Mohamad; Nurcholis, Waras; Klau, Maria Elsiana"
11/11/21;Perancangan Sistem Pengukuran Kinerja Perusahaan Pakan pada PT XYZ dengan Pendekatan Balance Scorecard;"Fahmi, Idqan; Novianti, Tanti; Kurniadi, Dedi"
09/11/21;Aplikasi Model Maximum Entropy untuk Prediksi Daerah Penangkapan Ikan di Laut Arafura;"Gaol, Jonson Lumban; Hawis H. M; Genetius, Antonius Ronald Novenio"
08/11/21;Sifat Fisis Dan Mekanis Kayu Manii (Maesopsis eminii Engl.) Termodifikasi Asam Borat, Natrium Silikat Dan Pemanasan;"Priadi, Trisna; Widati, Maedy Ana Siska"
08/11/21;Sifat Finishing, Ketahanan dari Api dan Pemaparan Alami Kayu Manii Termodifikasi Asam Borat, Natrium Silikat dan Pemanasan;"Priadi, Trisna; Pratama, Rafif Rizki"
05/11/21;Sistem Hidroponik untuk Pengolahan dan Pemanfaatan Efluen dari IPAL Anaerobik Industri Tahu di Dusun Giriharja, Kabupaten Sumedang;"Noor, Erliza; Hamidah, Umi; Untari, Melany"
04/11/21;Desain Sistem Informasi UMKM Agroindustri di Kabupaten Bogor;"Hardjomidjojo, Hartrisari; Darmawan, Muhammad Arif; Ramdani, Ramdani"
