issued_date,title,authors,tanggal_valid,subject,cluster
,Optimasi Solusi Numerik Kuantum Bohmian Termodifikasi dengan Metode Finite Difference Implisit untuk Memprediksi Nilai Tukar Mata Uang,"['Kartono, Agus', ' Hardhienata, Hendradi', ' Afrilia, Sri Rahayu']",False,"['metode', 'nilai', 'optimasi', 'termodifikasi']",55
,"Hubungan Citra Tubuh, Tipe Perilaku Makan, dan Gaya Hidup dengan Status Gizi Siswa SMA Negeri 1 Bogor","['Hardinsyah', ' Iman, Syarafina Sabila']",False,"['bogor', 'tipe', 'perilaku', 'hubungan', 'citra', 'makan', 'hidup', 'status', 'gizi', 'status gizi']",79
,Pengaruh Dukungan Sosial dan Stres Pengasuhan terhadap Penerimaan Orang Tua dengan Anak Berkebutuhan Khusus,"['Alfiasari', ' Ramadhanty, Rizki Dwi']",False,"['pengaruh', 'sosial', 'stres', 'anak']",19
,Pengaruh Peran Gender dalam Fungsi Cinta Kasih dan Perlindungan terhadap Kebahagiaan Remaja,"['Puspitawati, Herien', ' Naina, Sheila']",False,"['pengaruh', 'peran', 'gender', 'fungsi', 'remaja']",81
,Pengaruh Gaya Hidup dan Kelompok Acuan terhadap Motivasi Pembelian Laptop Lenovo pada Mahasiswa Institut Pertanian Bogor,"['Djamaludin, Moh. Djemdjem', ' Rani, Putri Cahaya']",False,"['bogor', 'mahasiswa', 'institut', 'pertanian', 'institut pertanian', 'pertanian bogor', 'institut pertanian bogor', 'pembelian', 'pengaruh', 'hidup', 'kelompok']",36
,"Hubungan Pemesanan Pangan Daring dengan Alokasi Biaya Pangan, Tingkat Kecukupan Gizi, serta Keragaman Konsumsi Pangan","['Martianto, Drajat', ' Heryatno, Yayat', ' Syira D.S, Qhialdy']",False,"['pangan', 'hubungan', 'gizi', 'tingkat', 'keragaman', 'konsumsi']",19
,Relasi Gender dalam Rumah Tangga UMKM Industri Olahan Makanan.,"['Amanah, Siti', ' Ramadhani, Nabilla Rizky']",False,"['industri', 'gender', 'rumah', 'tangga', 'umkm', 'olahan', 'makanan', 'rumah tangga']",19
,Identifikasi Follicle-Stimulating Hormone dan Luteinizing Hormone Subunit-_ pada Perkembangan Gonad Ikan Gurami Osphronemus goramy Betina,"['Alimuddin', ' Soelistyowati, Dinar Tri', ' Carman, Odang', ' Prasetiyo, Arief Eko']",False,"['ikan', 'identifikasi', 'perkembangan']",118
,"Respon Biologi Infeksi Cacing Haemonchus contortus Rudolphi, 1803 pada Domba Ekor Tipis","['Farajallah, Achmad', ' Muladno', ' Wibawan, I Wayan T', ' Muttaqin, Wildan Najmal']",False,"['respon', 'infeksi', 'domba', 'ekor']",96
,"Analisis Pelaksanaan Program Desa Organik dan Faktor-Faktor yang Memengaruhi Willingness to Adopt SRI Organik (Studi Kasus: Kecamatan Ciparay, Kabupaten Bandung, Jawa Barat","['Ismail, Ahyar', ' Thamrin, Fifi Diana', ' Harianja, Asri']",False,"['analisis', 'to', 'jawa', 'barat', 'jawa barat', 'faktor', 'memengaruhi', 'studi', 'faktor faktor', 'faktor memengaruhi', 'faktor faktor memengaruhi', 'kabupaten', 'program', 'desa', 'organik', 'kecamatan', 'bandung']",100
,Karakteristik Fisikokimia dan Sensori Beras Analog Multigrain Berprotein Tinggi.,"['Kusnandar, Feri', ' Budijanto, Slamet', ' Andika, Ari']",False,"['karakteristik', 'beras']",19
,Analisis Potensi Wisata Edukasi Desa Argapura menuju Pongkor UNESCO Global Geopark,"['Aidi, Muhammad Nur', ' Gunawan, Andi', ' Setianata, Andi Aji']",False,"['analisis', 'potensi', 'analisis potensi', 'wisata', 'desa', 'edukasi']",44
,Evaluasi Perbedaan Warna Wadah terhadap Kinerja Produksi Pendederan Lobster Pasir Panulirus homarus pada Wadah Terkontrol,"['Supriyono, Eddy', ' Widanarni', ' Saktya, Bayu Aji']",False,"['evaluasi', 'warna', 'kinerja', 'perbedaan', 'produksi']",19
,Isolat Lapang Enterococcus faecalis sebagai Kandidat Antigen dalam Produksi Imunoglobulin Y (IgY) Anti Streptococcosis pada Bidang Akuakultur,"['Wibawan, I Wayan Teguh', ' Pasaribu, Fachriyan Hasmi', ' Soejoedono, Retno Damajanti', ' Rizkiantino, Rifky']",False,"['produksi', 'isolat', 'anti']",75
,Karakterisasi Toksigenisitas Aspergillus flavus Asal Komoditas Pertanian di Indonesia,"['Rahayu, Winiati P.', ' Nurjanah, Siti', ' Anidah']",False,"['pertanian', 'indonesia', 'karakterisasi']",19
,Tingkat Fertilisasi in vitro Oosit Domba setelah Difertilisasi dalam Media dengan Penambahan Cysteamine,"['Setiadi, Mohamad Agus', ' Karja, Ni Wayan Kurniani', ' Kaiin, Ekayanti Mulyawati', ' Nurkarimah, Dona Astari']",False,"['in', 'tingkat', 'domba', 'vitro', 'media', 'penambahan', 'in vitro']",88
,Evaluasi Ekstrak Tanin Akasia (Acacia mangium) sebagai Aditif Pakan Penghambat Bakteri Patogen dan Parasit Nematoda (Kajian In Vitro dan Meta-analisis),"['Jayanegara, Anuraga', ' Laconi, Erika Budiarti', ' Sinaga, Desi Maria']",False,"['analisis', 'evaluasi', 'kajian', 'ekstrak', 'in', 'vitro', 'in vitro', 'pakan', 'bakteri']",19
,Dinamika Medan Temu Kekeruhan Massa Air di Estuari Musi Banyuasin.,"['Nurjaya, I Wayan', ' Gaol, Jonson Lumban', ' Heltria, Septy']",False,"['air', 'massa', 'dinamika']",19
,"Strategi Keberlanjutan Lahan Sawah Baru di Kecamatan Lubuk Pinang, Kabupaten Mukomuko","['Barus, Baba', ' Pravitasari, Andrea Emma', ' Sandi, Dedi']",False,"['strategi', 'kabupaten', 'keberlanjutan', 'lahan', 'kecamatan', 'sawah']",19
,Optimalisasi Lahan Pertanaman Kelapa Sawit Belum Menghasilkan dengan Tanaman Sela Semusim,"['Hariyadi', ' Suwarto', ' Rizki, Dian Pratanda']",False,"['tanaman', 'lahan', 'kelapa', 'sawit', 'kelapa sawit']",114
,Optimasi Primer Spesifik Spesies Varanus salvator (Biawak Air) Berbasis Gen COI (Sitokrom oksidase subunit I),"['Nuraini, Henny', ' Sumantri, Cece', ' Fitri, Rani Eka']",False,"['air', 'optimasi', 'berbasis', 'primer', 'spesies', 'gen']",55
,Peningkatan Mutu dan Keamanan Pangan pada Kakao Kering.,"['Sutrisno', ' Ahmad, Usman', ' Samsudin', ' Nurfadila, Nijma']",False,"['pangan', 'peningkatan', 'mutu', 'kakao', 'kering']",19
,Karakteristik dan Pemenuhan CPPOB Pelaku UMKM Online Produk Olahan Beku Daging Sapi dan Ayam di DKI Jakarta,"['Muhandri, Tjahja', ' Nurjanah, Siti', ' Pritanova P, Rinanti']",False,"['online', 'produk', 'jakarta', 'umkm', 'olahan', 'karakteristik', 'daging', 'sapi', 'ayam', 'dki', 'daging sapi', 'dki jakarta']",19
,Aktivitas Inhibitor Alfa Glukosidase Aktinobakteri Endofit Kulit Buah Manggis (Garcinia mangostana L.).,"['Lestari, Yulin', ' Meryandini, Anja', ' Oktahariani, Putri']",False,"['kulit', 'aktivitas', 'buah', 'endofit']",19
,Model Spasial Perubahan dan Arahan Penggunaan Lahan Berkelanjutan di DAS Cisadane,"['Murtilaksono, Kukuh', ' Munibah, Khursatul', ' Wulandari, Rina']",False,"['penggunaan', 'model', 'lahan', 'spasial', 'perubahan', 'berkelanjutan', 'penggunaan lahan']",20
,Pengaruh Penambahan Fosfat pada Proses Ekstraksi Teh untuk Pengolahan Minuman Teh Hijau Siap Minum,"['Andarwulan, Nuri', ' Herawati, Dian', ' Hidayati, Rima']",False,"['pengolahan', 'hijau', 'ekstraksi', 'pengaruh', 'penambahan', 'proses', 'teh', 'minuman', 'minum', 'pengaruh penambahan']",19
,Kinerja Pengelolaan Wisata Alam Kegiatan Berkemah dan Mendaki di Gunung Bunder Taman Nasional Gunung Halimun Salak,"['Basuni, Sambas', ' Kosmaryandi, Nandi', ' Safira, T. Maya']",False,"['pengelolaan', 'wisata', 'taman', 'nasional', 'gunung', 'taman nasional', 'nasional gunung', 'taman nasional gunung', 'kegiatan', 'alam', 'kinerja', 'salak']",62
,Analisis Characteristics dan Outcomes Bekerja dari Rumah dengan Subjective Well-Being sebagai Variabel Moderasi,"['Sukmawati, Anggraini', ' Sumertajaya, I Made', ' Damayanti, Nurlia Eka']",False,"['analisis', 'rumah']",19
,Pematahan Dormansi Benih Bawang Putih (Allium sativum L.) Menggunakan Teknologi Ultrafine Bubbles Water,"['Purwanto, Y. Aris', ' Sobir', ' Shandra, Rizky Cynthia']",False,"['benih', 'bawang', 'putih', 'teknologi']",19
,Penyusunan Tabel Mortalitas dengan Model Densitas Kernel: Studi Kasus Data Kresna Life Insurance,"['Sumarno, Hadi', ' Purnaba, I Gusti Putu', ' Tresia']",False,"['model', 'studi', 'data', 'life']",19
,Jumlah Pseudomonas spp. dan Bakteri Psikotrofik Lainnya pada Minuman Susu Aneka Rasa yang Dijual di Sekitar Kampus Dramaga dan Cilibende IPB University.,"['Pisestyani, Herwin', ' Agungpriyono, Srihadi', ' Saputra, Riko']",False,"['susu', 'bakteri', 'minuman', 'spp', 'kampus', 'dramaga', 'cilibende', 'ipb', 'university', 'dramaga cilibende', 'ipb university']",80
,Jumlah Koliform dan Staphylococcus aureus Susu Siap Minum yang Dijual di Lingkungan Sekitar Kampus Dramaga dan Cilibende IPB University,"['Pisestyani, Herwin', ' Wicaksono, Ardilasunu', ' Nursaffana, Ramadhani, Nada']",False,"['susu', 'staphylococcus', 'minum', 'kampus', 'dramaga', 'cilibende', 'ipb', 'university', 'dramaga cilibende', 'ipb university', 'lingkungan']",80
,Potensi Nanopartikel Ekstrak Daun Kersen (Muntingia calabura) sebagai Imunomodulator pada Puyuh (Coturnix coturnix Japonica) yang diberi Deksametason,"['Santoso, Koekoeh', ' Adnyane, I Ketut Mudite', ' Agusti, Naufal']",False,"['potensi', 'ekstrak', 'daun', 'ekstrak daun']",53
,Kualitas Spermatozoa Kauda Epididimis Kucing dalam Pengencer Tris Kuning Telur Omega 3 dan Tris Susu Skim,"['Karja, Ni Wayan Kurniani', ' Ilyas, Abdul Zahid', ' Anggraini, Silvia']",False,"['susu', 'kualitas', 'kucing', 'pengencer', 'tris', 'kuning', 'telur']",21
